1783 , 1783 , 1783 , 1783 , 1783 , 1783 , 1783 , 1783 , 1783 , 1783 , 1783 , 1783 , 1783 , 1783 , 1722 , 1655 , 1655 , 1655 , 1655 , 1655 , 1456 , 1150 , 1138 , 1138 , 1138 , 1138 , 1138 , 1066 , 1037 , 1037 , 1037 , 1037 , 1024 , 1024 , 1016 , 1001 , 985 , 978 , 970 , 952 , 943 , 916 , 895 , 875 , 863 , 846 , 829 , 820 , 808 , 799 , 778 , 736 , 735 , 712 , 700 , 689 , 651 , 629 , 601 , 583 , 551 , 512 , 505 , 476 , 462 , 450 , 430 , 411 , 373 , 349 , 336 , 317 , 278 , 261 , 257 , 236 , 216 , 203 , 183 , 174 , 157 , 135 , 101 , 78 , 75 , 59 , 52 , 41 , 34 , 25 , 15 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1870 , 1870 , 1870 , 1870 , 1870 , 1870 , 1870 , 1870 , 1870 , 1870 , 1870 , 1870 , 1861 , 1861 , 1784 , 1686 , 1676 , 1673 , 1671 , 1671 , 1361 , 1048 , 1046 , 1040 , 1040 , 1037 , 1037 , 975 , 932 , 932 , 932 , 932 , 930 , 928 , 926 , 924 , 910 , 909 , 903 , 894 , 892 , 885 , 874 , 863 , 860 , 841 , 841 , 835 , 828 , 825 , 819 , 812 , 809 , 796 , 786 , 774 , 766 , 757 , 752 , 740 , 736 , 736 , 731 , 725 , 719 , 716 , 710 , 700 , 681 , 678 , 676 , 669 , 669 , 666 , 655 , 637 , 630 , 626 , 621 , 602 , 589 , 589 , 579 , 577 , 577 , 577 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 572 , 
1728 , 1728 , 1728 , 1728 , 1728 , 1728 , 1713 , 1713 , 1713 , 1713 , 1713 , 1713 , 1671 , 1671 , 1480 , 1188 , 1188 , 1187 , 1187 , 1183 , 743 , 330 , 271 , 269 , 269 , 257 , 257 , 158 , 66 , 66 , 66 , 66 , 66 , 66 , 66 , 66 , 59 , 59 , 59 , 59 , 58 , 58 , 54 , 51 , 49 , 49 , 49 , 49 , 49 , 49 , 48 , 48 , 48 , 47 , 47 , 44 , 43 , 41 , 41 , 41 , 41 , 37 , 37 , 37 , 35 , 35 , 33 , 30 , 24 , 21 , 21 , 13 , 11 , 9 , 9 , 9 , 8 , 8 , 6 , 6 , 5 , 3 , 3 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 
1728 , 1728 , 1728 , 1728 , 1728 , 1728 , 1713 , 1713 , 1713 , 1713 , 1713 , 1713 , 1671 , 1671 , 1480 , 1188 , 1188 , 1187 , 1187 , 1183 , 743 , 330 , 271 , 269 , 269 , 257 , 257 , 158 , 66 , 66 , 66 , 66 , 66 , 66 , 66 , 66 , 59 , 59 , 59 , 59 , 58 , 58 , 54 , 51 , 49 , 49 , 49 , 49 , 49 , 49 , 48 , 48 , 48 , 47 , 47 , 44 , 43 , 41 , 41 , 41 , 41 , 37 , 37 , 37 , 35 , 35 , 33 , 30 , 24 , 21 , 21 , 13 , 11 , 9 , 9 , 9 , 8 , 8 , 6 , 6 , 5 , 3 , 3 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 
1728 , 1728 , 1728 , 1728 , 1728 , 1728 , 1713 , 1713 , 1713 , 1713 , 1713 , 1713 , 1671 , 1671 , 1480 , 1188 , 1188 , 1187 , 1187 , 1183 , 743 , 330 , 271 , 269 , 269 , 257 , 257 , 158 , 66 , 66 , 66 , 66 , 66 , 66 , 66 , 66 , 59 , 59 , 59 , 59 , 58 , 58 , 54 , 51 , 49 , 49 , 49 , 49 , 49 , 49 , 48 , 48 , 48 , 47 , 47 , 44 , 43 , 41 , 41 , 41 , 41 , 37 , 37 , 37 , 35 , 35 , 33 , 30 , 24 , 21 , 21 , 13 , 11 , 9 , 9 , 9 , 8 , 8 , 6 , 6 , 5 , 3 , 3 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1888 , 1888 , 1888 , 1888 , 1888 , 1888 , 1855 , 1855 , 1855 , 1855 , 1855 , 1855 , 1831 , 1831 , 1778 , 1626 , 1623 , 1623 , 1623 , 1623 , 1450 , 1241 , 1234 , 906 , 651 , 651 , 651 , 588 , 482 , 482 , 414 , 363 , 363 , 363 , 352 , 352 , 300 , 290 , 288 , 264 , 264 , 255 , 255 , 249 , 236 , 236 , 228 , 222 , 220 , 216 , 202 , 193 , 185 , 180 , 171 , 169 , 169 , 164 , 164 , 155 , 151 , 146 , 140 , 129 , 125 , 119 , 105 , 101 , 98 , 98 , 96 , 92 , 86 , 74 , 72 , 67 , 66 , 64 , 62 , 52 , 48 , 44 , 37 , 29 , 26 , 21 , 21 , 15 , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1888 , 1888 , 1888 , 1888 , 1888 , 1888 , 1855 , 1855 , 1855 , 1855 , 1855 , 1855 , 1831 , 1831 , 1778 , 1626 , 1623 , 1623 , 1623 , 1623 , 1450 , 1241 , 1234 , 906 , 651 , 651 , 651 , 588 , 482 , 482 , 414 , 363 , 363 , 363 , 352 , 352 , 300 , 290 , 288 , 264 , 264 , 255 , 255 , 249 , 236 , 236 , 228 , 222 , 220 , 216 , 202 , 193 , 185 , 180 , 171 , 169 , 169 , 164 , 164 , 155 , 151 , 146 , 140 , 129 , 125 , 119 , 105 , 101 , 98 , 98 , 96 , 92 , 86 , 74 , 72 , 67 , 66 , 64 , 62 , 52 , 48 , 44 , 37 , 29 , 26 , 21 , 21 , 15 , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
